poliza;sexo;sri;gdi;sin;ant_comp;ant_perm;edad;ant_veh
80174634;F;Urbana;NO;2;0;0;44;2012
80174760;F;Urbana;NO;3;2;13;56;2011
80172993;F;Urbana;NO;1;1;15;44;2012
80172409;F;Urbana;NO;2;3;10;60;2012
80173477;F;No Urbana;SI;1;3;7;43;2012
80174163;M;Urbana;NO;3;2;10;27;2012
1430908;F;Urbana;SI;3;0;10;36;2012
80173682;F;Urbana;NO;4;1;4;56;2011
80172031;M;No Urbana;SI;3;1;6;56;1981
1434623;M;Urbana;SI;5;0;1;71;1981
80172591;M;No Urbana;SI;5;0;13;58;1981
80172248;F;No Urbana;SI;3;0;14;69;2008
1434179;F;Urbana;NO;5;1;14;65;2008
1434240;F;Urbana;NO;1;4;11;43;2009
1435432;F;Urbana;SI;5;2;5;69;2008
1433374;F;No Urbana;SI;4;3;4;69;2008
80174917;F;No Urbana;NO;3;5;2;65;2008
80175301;M;Urbana;NO;4;2;8;51;2008
80175089;F;No Urbana;SI;2;4;13;43;2009
80174459;F;Urbana;SI;2;1;12;69;2008
80174482;M;No Urbana;SI;2;5;14;75;2007
80173158;F;Urbana;NO;3;5;12;33;2008
80174739;F;No Urbana;NO;2;3;8;41;2007
80173253;M;Urbana;NO;5;4;7;42;2009
1430426;F;No Urbana;SI;4;1;11;65;2008
80173096;F;No Urbana;NO;5;4;12;29;2008
80173164;M;Urbana;SI;1;4;9;23;2007
80172744;M;No Urbana;NO;2;1;9;75;2007
80173602;F;No Urbana;SI;4;1;6;43;2007
80173838;F;Urbana;SI;4;2;4;43;2009
1435508;M;Urbana;NO;4;3;0;57;2005
1435744;F;No Urbana;NO;1;0;15;66;2000
1433846;F;No Urbana;NO;1;4;15;66;2000
80175545;M;Urbana;NO;4;4;6;45;2008
80175091;F;No Urbana;NO;4;0;9;58;2005
80174645;F;Urbana;NO;0;4;5;66;2000
80173225;M;No Urbana;NO;4;5;6;23;2002
80173803;F;Urbana;NO;0;5;5;58;2005
80173335;F;No Urbana;NO;0;5;9;66;2000
80175306;F;No Urbana;NO;0;3;15;51;2007
1434544;F;No Urbana;NO;1;0;6;51;2007
80172525;F;Urbana;NO;5;4;7;59;2002
1433827;M;No Urbana;NO;3;2;14;66;2007
1434304;F;No Urbana;NO;0;4;13;30;2007
1434298;M;No Urbana;SI;0;5;4;41;2003
1432084;M;Urbana;SI;4;3;2;66;2007
80173966;M;No Urbana;NO;0;0;6;33;2005
1430688;M;No Urbana;NO;1;5;11;66;2007
80173692;M;No Urbana;NO;5;5;7;23;2012
1435062;M;No Urbana;NO;2;0;0;71;2007
1432797;M;Urbana;NO;5;3;1;71;2007
80172289;F;No Urbana;NO;5;2;9;49;2012
80174995;M;Urbana;NO;5;1;1;66;2012
80173811;M;Urbana;NO;5;2;14;66;2012
80175307;M;Urbana;NO;5;1;6;44;2012
80172654;F;No Urbana;NO;2;0;13;69;2011
80172678;M;No Urbana;NO;2;4;9;66;2013
80174087;F;Urbana;NO;2;4;11;53;2010
80173455;M;Urbana;NO;1;1;12;33;2010
80173172;F;Urbana;NO;4;5;10;35;2009
1433733;M;No Urbana;SI;4;1;13;52;2008
1435930;M;No Urbana;NO;4;2;12;52;2008
1433480;M;Urbana;NO;4;2;14;51;2005
80174443;M;No Urbana;NO;2;3;4;51;2005
80172559;F;Urbana;NO;1;5;10;56;2012
80173185;M;Urbana;NO;5;3;3;51;2005
80172541;M;Urbana;NO;2;1;13;52;2013
1435052;F;No Urbana;NO;0;3;11;53;2014
1434663;M;Urbana;NO;5;3;7;58;2014
1435013;M;No Urbana;NO;3;4;7;76;2011
80175344;M;Urbana;NO;2;2;12;76;2011
80174206;M;Urbana;NO;5;1;15;76;2011
80172378;M;No Urbana;NO;0;3;10;76;2011
1433759;M;No Urbana;NO;5;0;0;24;2021
1435886;M;Urbana;NO;4;1;14;47;1992
1434601;M;No Urbana;NO;3;4;2;70;1985
1435735;M;Urbana;NO;2;3;4;55;2012
1434316;M;No Urbana;NO;4;1;14;44;2010
1434042;M;Urbana;NO;4;1;10;63;2010
1436163;M;Urbana;NO;1;4;15;23;2006
1434944;M;Urbana;SI;0;1;10;43;2010
1435675;M;No Urbana;NO;1;1;10;44;2011
1434766;M;No Urbana;NO;0;4;13;43;2010
1435377;M;Urbana;NO;2;3;15;67;2009
1435374;M;No Urbana;NO;5;4;15;57;2012
1433859;M;Urbana;NO;2;5;11;55;2012
1434719;M;No Urbana;SI;4;3;13;38;2004
1433729;M;No Urbana;NO;0;0;11;57;2000
1435403;M;No Urbana;NO;4;0;8;50;2011
1435927;M;Urbana;NO;4;2;3;57;2000
1435834;F;No Urbana;NO;2;4;7;39;1987
1435396;M;No Urbana;NO;2;3;5;36;1989
80172964;M;Urbana;NO;0;2;7;49;2012
80175409;M;Urbana;NO;4;5;0;52;2013
80172282;M;No Urbana;NO;4;2;14;52;2013
80174162;M;No Urbana;NO;4;3;10;52;2013
80172458;M;Urbana;NO;5;2;10;35;2011
1435407;M;Urbana;NO;5;5;5;58;2014
80175555;M;Urbana;NO;5;3;10;57;2013
80174943;M;Urbana;NO;2;0;8;49;2019
80173879;M;Urbana;NO;0;2;11;49;2019
80172543;M;Urbana;NO;1;0;14;28;2011
80172970;M;Urbana;NO;1;4;12;30;2015
80172911;M;Urbana;NO;1;3;12;55;2015
80172910;M;Urbana;NO;3;0;15;62;2015
1434513;M;No Urbana;NO;2;1;12;43;2014
1435447;F;No Urbana;NO;1;1;0;43;2014
1435807;M;Urbana;NO;3;2;7;54;2014
1435811;M;No Urbana;NO;5;5;13;62;2014
80175258;M;Urbana;NO;1;3;7;43;2014
1434686;M;Urbana;NO;1;3;14;53;2015
1433401;F;No Urbana;SI;1;4;9;43;2014
1434938;M;Urbana;NO;1;0;0;40;2014
80175240;M;Urbana;NO;3;5;15;53;2015
1434622;M;Urbana;NO;5;4;12;71;1996
1435720;M;Urbana;NO;3;2;4;49;2012
1433794;M;No Urbana;NO;0;0;5;49;2012
80172672;F;No Urbana;NO;5;5;8;51;2014
1435402;M;No Urbana;NO;1;5;12;54;2020
1433969;M;No Urbana;NO;1;4;6;57;2014
1435933;M;No Urbana;NO;1;0;14;57;2014
80173557;F;No Urbana;NO;5;1;15;44;2015
80172661;F;Urbana;NO;0;4;1;71;2015
80172769;M;No Urbana;NO;5;4;10;51;2014
1434152;M;No Urbana;SI;4;5;0;53;2014
1435788;F;Urbana;NO;2;5;14;42;2018
1436086;F;Urbana;NO;4;0;14;51;2014
80175461;M;No Urbana;NO;4;5;15;56;2013
1433002;M;Urbana;SI;4;5;10;45;2012
1434124;F;No Urbana;NO;0;2;9;51;2014
1435129;M;No Urbana;NO;3;2;9;42;2012
1434236;F;No Urbana;NO;1;0;14;56;2012
1434232;M;No Urbana;NO;3;5;13;59;2012
1433934;F;Urbana;NO;3;2;13;65;2015
1434550;M;No Urbana;NO;2;1;11;25;2013
80175436;F;No Urbana;SI;3;5;0;43;2011
1434032;F;Urbana;NO;5;0;4;45;2012
80174409;M;No Urbana;NO;1;3;8;35;2013
80175130;M;Urbana;NO;4;2;14;25;2013
1432239;M;No Urbana;SI;2;5;0;59;2012
80175010;F;Urbana;NO;1;1;5;53;2012
80174349;M;No Urbana;NO;4;5;11;48;2014
1432176;F;Urbana;NO;4;3;7;56;2012
1434940;M;No Urbana;NO;4;0;9;56;2013
80174764;F;Urbana;NO;5;5;1;65;2015
1432156;F;No Urbana;NO;0;0;6;45;2012
80174225;F;No Urbana;NO;0;1;3;43;2011
80172853;M;No Urbana;NO;4;3;6;48;2014
80172711;F;No Urbana;NO;3;3;0;42;2014
80173667;F;Urbana;NO;3;2;6;65;2015
80172556;F;Urbana;NO;4;3;10;43;2011
80172326;M;No Urbana;SI;3;5;12;50;2015
80173252;F;No Urbana;NO;5;1;15;31;2013
80172935;M;Urbana;NO;0;3;13;38;2013
80172767;M;No Urbana;NO;4;2;8;34;2014
80172977;M;No Urbana;NO;5;0;10;35;2013
80172384;F;Urbana;NO;0;3;6;39;2013
80172973;M;Urbana;NO;4;2;5;35;2013
80174251;M;Urbana;NO;3;1;15;50;2015
80173924;M;Urbana;SI;5;0;5;25;2013
1430464;F;No Urbana;SI;3;1;3;96;2014
80173908;F;Urbana;NO;1;0;2;53;2012
1430744;F;Urbana;SI;3;2;14;56;2012
80173375;M;No Urbana;SI;4;0;0;43;2016
80173461;F;No Urbana;NO;5;5;11;15;2013
1430809;F;No Urbana;SI;5;4;8;42;2012
80174665;F;Urbana;NO;1;1;10;78;1991
80173430;F;No Urbana;NO;4;2;11;78;1991
1436254;F;No Urbana;NO;5;2;2;56;2007
80173153;F;Urbana;NO;2;2;3;56;2007
80174606;F;Urbana;NO;0;3;0;56;2007
80172553;M;Urbana;NO;0;5;6;59;1992
80172315;M;Urbana;NO;1;2;10;73;1984
80173535;M;No Urbana;SI;2;0;10;66;1979
1430075;F;No Urbana;NO;3;3;12;56;2007
1434701;M;No Urbana;NO;4;1;0;0;1972
1434460;M;Urbana;NO;0;1;8;50;1974
80175209;M;No Urbana;NO;0;4;0;0;1972
80173042;M;Urbana;NO;3;1;7;49;1984
80172277;M;No Urbana;NO;4;4;12;41;1980
80173541;M;No Urbana;NO;4;0;10;66;1978
80173533;M;Urbana;NO;5;2;13;66;1978
80173994;M;No Urbana;NO;0;4;1;48;1995
1433654;M;Urbana;NO;5;5;5;69;1978
80174638;M;Urbana;NO;2;3;4;69;1978
80173560;M;Urbana;NO;1;5;2;66;1976
1434805;M;No Urbana;SI;1;2;14;77;1986
80175228;M;No Urbana;NO;5;1;6;77;1986
80174106;M;Urbana;SI;3;2;3;77;1986
80172936;M;No Urbana;NO;5;1;6;71;2008
1433478;M;Urbana;NO;5;1;11;51;2009
80173049;M;Urbana;NO;2;5;8;69;2006
80172346;F;No Urbana;NO;5;2;2;40;2012
80172344;F;Urbana;NO;2;4;1;40;2011
80174445;M;No Urbana;NO;5;4;6;51;2009
80174525;M;Urbana;NO;1;4;8;69;2006
80173181;M;No Urbana;NO;5;1;3;51;2009
1434318;F;Urbana;NO;5;2;6;68;2009
1436179;M;No Urbana;NO;3;4;8;46;2009
1436048;M;No Urbana;NO;5;4;15;69;2012
80172284;M;No Urbana;NO;4;5;9;46;2009
1434093;F;No Urbana;NO;2;2;9;59;2009
1433532;M;Urbana;SI;2;4;8;69;2006
1436109;M;No Urbana;NO;4;4;2;59;2009
1435936;M;Urbana;NO;4;4;10;65;2009
1435935;M;Urbana;NO;2;0;1;75;2008
1436102;F;Urbana;NO;4;0;10;59;2009
1435070;M;No Urbana;NO;4;2;13;36;2005
1433821;M;No Urbana;NO;2;3;14;69;2012
1434076;M;No Urbana;NO;3;0;6;75;2008
1434074;M;Urbana;NO;5;4;0;59;2009
1435004;M;Urbana;NO;3;0;5;67;2009
1435018;F;No Urbana;NO;0;2;13;46;2009
1435015;F;Urbana;NO;1;3;14;49;2002
1432509;M;Urbana;NO;0;1;11;60;2011
1432874;M;Urbana;NO;3;0;10;67;2009
1434018;M;Urbana;NO;3;0;14;68;2007
80175539;F;Urbana;NO;4;5;10;42;2008
80174924;M;Urbana;NO;5;2;6;59;2009
80175528;F;Urbana;NO;2;4;3;46;2009
1433951;M;Urbana;NO;1;3;13;65;2009
80175401;F;Urbana;NO;1;4;0;49;2002
1436017;M;No Urbana;NO;4;4;1;60;2007
80174939;M;No Urbana;NO;0;5;11;68;2007
80174754;M;No Urbana;NO;3;2;11;69;2012
80172928;M;Urbana;NO;2;4;1;70;2010
80172221;F;Urbana;NO;5;5;7;49;2002
80172917;M;Urbana;NO;5;4;2;46;2009
80172429;M;No Urbana;NO;1;3;9;68;2007
80173550;M;Urbana;NO;3;2;7;69;2012
80174141;F;No Urbana;NO;2;3;1;49;2002
80172247;F;Urbana;NO;2;4;6;76;2013
80174139;F;No Urbana;NO;5;3;1;76;2013
1434871;F;No Urbana;NO;0;3;12;76;2013
80175419;F;Urbana;SI;2;4;11;76;2013
1435066;F;Urbana;NO;1;1;10;63;2007
1432802;F;Urbana;NO;2;1;3;63;2007
80175262;M;No Urbana;SI;1;4;5;42;2007
1434400;M;No Urbana;NO;4;4;11;42;2007
80172431;M;No Urbana;NO;0;5;13;42;2007
80174041;F;Urbana;NO;4;4;1;63;2007
1434633;M;Urbana;NO;2;2;8;61;1996
80175086;M;Urbana;NO;2;1;2;61;1996
80174030;M;Urbana;NO;1;3;15;61;1996
80172241;M;Urbana;NO;0;5;14;42;2001
1434378;F;No Urbana;NO;5;0;6;36;1999
1435686;M;No Urbana;NO;3;5;1;33;2003
1435279;M;No Urbana;NO;2;4;10;84;2001
1435900;M;Urbana;NO;0;4;9;50;2003
1434817;M;Urbana;NO;3;2;10;87;2011
1434504;F;Urbana;NO;4;0;10;38;2004
1434522;F;No Urbana;NO;5;4;4;52;2006
1433761;M;No Urbana;NO;0;2;6;33;2003
1434243;F;Urbana;NO;5;0;7;74;1998
80175430;M;Urbana;NO;0;0;14;84;2001
80174990;F;Urbana;NO;5;1;8;36;1999
80174369;M;Urbana;NO;1;4;7;72;2004
80175311;F;Urbana;NO;0;5;14;52;2006
80175295;F;No Urbana;NO;0;3;3;38;2004
80173928;F;Urbana;NO;0;5;13;74;1998
80174970;F;No Urbana;NO;3;4;4;74;1998
80174247;M;No Urbana;NO;5;0;14;45;2006
80173297;F;Urbana;NO;1;5;11;55;2001
80174104;F;Urbana;NO;0;5;8;38;2004
80172433;M;Urbana;NO;2;1;11;44;2002
80172789;M;No Urbana;NO;1;4;7;72;2004
80172492;M;No Urbana;NO;2;1;14;45;2006
80173899;F;Urbana;NO;1;0;6;36;1999
80174085;F;Urbana;NO;3;3;3;52;2006
80172651;M;Urbana;NO;2;5;1;39;2002
80172436;M;No Urbana;NO;2;5;13;50;2002
80174127;M;Urbana;NO;5;3;4;56;2002
80172290;M;No Urbana;NO;5;5;13;50;2008
80172167;M;Urbana;NO;4;3;1;33;1998
80172314;M;Urbana;NO;1;0;0;50;2001
80172746;F;Urbana;NO;4;0;8;60;2001
80172190;M;No Urbana;NO;3;5;10;36;1975
1434398;M;Urbana;NO;3;0;13;57;2007
80175002;M;No Urbana;NO;0;1;13;57;2007
80173882;M;Urbana;NO;3;3;9;57;2007
80172520;F;Urbana;NO;2;3;10;45;2006
1434956;M;No Urbana;NO;4;1;2;32;1991
80172674;M;Urbana;NO;3;1;4;47;1988
80172570;F;No Urbana;NO;0;2;7;41;2011
80172786;M;No Urbana;NO;5;2;13;63;2010
80173460;M;No Urbana;NO;5;3;14;45;2007
80173459;M;Urbana;NO;1;3;10;65;2006
1434080;F;Urbana;NO;5;3;12;55;2004
1434079;F;No Urbana;NO;4;3;8;55;2013
80172645;F;No Urbana;NO;5;1;9;66;2005
80173601;M;Urbana;NO;3;5;11;64;2005
80173140;M;Urbana;NO;5;1;10;44;2011
80173138;M;No Urbana;NO;5;5;15;32;2003
80172569;M;Urbana;NO;3;0;6;43;2007
80172568;F;Urbana;NO;4;5;6;41;2005
80172982;M;No Urbana;NO;0;0;0;42;1988
80172564;F;No Urbana;NO;4;1;14;56;2007
80172548;M;Urbana;NO;0;1;9;47;2007
80173312;M;No Urbana;NO;0;3;6;42;2004
80173058;F;No Urbana;NO;4;5;12;64;2006
80172818;F;Urbana;NO;3;3;0;40;2004
80172753;F;Urbana;NO;1;4;5;67;2015
1433477;M;Urbana;NO;0;1;14;44;2011
80173309;M;Urbana;NO;1;2;12;46;2006
80173308;M;Urbana;NO;4;0;14;46;2002
80172849;M;No Urbana;NO;5;1;3;37;1997
80172811;M;No Urbana;NO;3;3;11;53;2001
1433476;M;No Urbana;NO;0;2;1;44;2011
80173306;F;No Urbana;NO;3;0;5;59;2001
80172618;M;Urbana;NO;2;4;6;69;2001
80172808;M;Urbana;NO;2;4;0;64;1999
80172733;M;Urbana;NO;0;1;1;45;1988
80172730;M;No Urbana;NO;1;2;11;42;2002
80172805;M;No Urbana;NO;0;0;5;72;1987
80172774;M;Urbana;NO;1;1;1;54;2011
80173165;M;No Urbana;NO;0;3;13;57;2001
80172802;M;No Urbana;NO;1;0;2;54;2008
80172723;M;No Urbana;NO;1;2;6;59;2006
80172468;M;No Urbana;NO;2;2;15;73;2010
80174378;M;No Urbana;NO;4;0;7;42;1988
80172691;M;Urbana;NO;1;1;8;40;2005
80172729;M;Urbana;NO;0;4;12;57;2008
80174522;M;No Urbana;NO;2;3;11;44;2011
80174521;M;No Urbana;NO;4;3;1;44;2011
80172924;M;No Urbana;NO;5;0;14;50;2007
80172923;M;Urbana;NO;4;4;5;57;2004
80172465;M;Urbana;NO;5;4;2;47;2006
80172979;M;Urbana;NO;1;2;10;37;2006
80172909;M;Urbana;NO;4;4;5;45;1993
80173143;M;Urbana;NO;4;2;14;67;2011
80173142;M;No Urbana;NO;4;1;13;67;2005
80172364;F;No Urbana;NO;1;0;3;71;2012
80173141;M;No Urbana;NO;5;4;13;44;2011
80174560;M;No Urbana;NO;2;1;8;54;2008
80172363;M;Urbana;NO;3;1;11;45;2008
80172718;M;No Urbana;NO;5;5;1;69;2004
80173017;M;Urbana;NO;4;2;8;64;2001
80172297;F;No Urbana;NO;4;1;10;42;2006
1435779;M;No Urbana;NO;4;4;4;69;2005
1435723;M;Urbana;NO;2;5;3;69;2011
1434363;M;Urbana;NO;5;3;14;44;2008
1434362;F;No Urbana;NO;3;0;11;59;1998
1435812;M;Urbana;NO;4;4;14;66;1999
1435357;M;Urbana;NO;0;1;8;54;2008
1434154;M;Urbana;NO;1;5;11;45;2008
1436180;M;Urbana;NO;3;3;7;46;2002
1436177;M;No Urbana;NO;0;5;0;62;2013
1433986;M;No Urbana;NO;3;2;13;63;2012
1433984;M;No Urbana;NO;0;0;14;63;2006
1433923;M;Urbana;NO;2;4;6;47;2006
1433922;M;No Urbana;NO;5;4;0;47;2010
1435460;M;Urbana;NO;3;0;5;38;2010
1434512;M;No Urbana;NO;1;5;1;46;2008
80175650;M;No Urbana;NO;5;5;4;59;1998
1434812;M;No Urbana;NO;5;5;3;72;2003
1435640;M;Urbana;NO;3;2;9;0;2010
1435627;M;Urbana;NO;0;4;11;59;2005
1434118;M;No Urbana;NO;4;0;9;50;2001
1434811;M;Urbana;NO;1;5;11;37;2012
1436122;M;No Urbana;NO;4;3;8;57;2004
1435827;M;Urbana;NO;0;4;1;45;2008
80175645;F;No Urbana;NO;1;4;7;61;2013
1436245;M;No Urbana;NO;4;2;13;59;2008
1436244;M;Urbana;NO;4;3;6;59;1998
1435826;M;No Urbana;NO;3;2;1;45;2007
1435808;M;Urbana;NO;5;3;7;54;2005
80175593;M;Urbana;NO;4;0;1;55;2008
1435187;M;No Urbana;NO;4;1;0;67;2006
1434932;M;No Urbana;NO;2;3;15;58;2006
1435114;M;No Urbana;NO;5;0;5;58;2013
1435580;M;Urbana;NO;5;5;11;60;1998
1434078;M;Urbana;NO;1;5;14;54;2008
1434077;M;Urbana;NO;5;3;5;54;2005
1435113;M;No Urbana;NO;1;3;4;58;2011
1435111;M;Urbana;NO;1;5;0;37;2011
1434855;M;No Urbana;NO;2;5;3;47;2000
1434765;M;No Urbana;NO;2;1;3;43;2004
1434764;M;Urbana;NO;3;2;7;43;2012
1434640;M;No Urbana;NO;0;4;2;69;2012
1433965;M;Urbana;NO;3;4;11;52;2011
1434648;M;No Urbana;NO;1;1;3;48;2004
1434647;M;Urbana;NO;5;4;0;32;1997
1434646;F;Urbana;NO;0;2;6;70;2011
1436134;M;Urbana;NO;1;3;13;0;2015
1434130;M;No Urbana;NO;1;1;3;62;2013
1433339;M;No Urbana;NO;3;2;5;64;1994
1433917;M;Urbana;NO;4;4;4;69;1996
1436100;M;Urbana;NO;0;2;12;0;2003
1435934;F;No Urbana;NO;3;5;5;42;2005
1433868;M;Urbana;NO;1;2;15;65;2006
80175680;M;No Urbana;SI;5;0;8;54;2008
1434820;F;No Urbana;NO;5;5;8;44;2002
1434819;M;Urbana;NO;2;0;4;47;2006
1435806;M;Urbana;NO;1;1;0;35;2004
1436060;M;Urbana;NO;4;1;14;69;1996
1436059;M;Urbana;NO;0;0;15;52;2011
1432935;M;No Urbana;NO;4;3;8;57;2012
80175658;M;No Urbana;NO;3;1;0;59;2008
1434751;F;No Urbana;NO;2;3;3;40;2007
1434750;M;No Urbana;NO;5;3;10;74;2006
